Team,2015,2014,2013,2012
PIT,0.545454545,0.596899225,0.591160221,0.576819407
TEN,0.553459119,0.551083591,0.537837838,0.534682081
ATL,0.593457944,0.591397849,0.61369863,0.588709677
MIA,0.541401274,0.572580645,0.610169492,0.536931818
KC,0.545454545,0.586206897,0.520547945,0.497297297
BAL,0.616915423,0.617486339,0.598484848,0.582655827
CAR,0.540229885,0.535897436,0.582872928,0.52407932
PHI,0.494382022,0.538461538,0.563829787,0.551813472
DEN,0.556213018,0.541884817,0.610576923,0.592307692
CIN,0.587878788,0.593406593,0.560301508,0.554666667
CLE,0.617346939,0.549450549,0.621761658,0.555248619
MIN,0.534161491,0.519774011,0.527173913,0.613888889
HOU,0.589285714,0.534574468,0.556962025,0.515075377
NYJ,0.578651685,0.560526316,0.533149171,0.5625
IND,0.581280788,0.59697733,0.60989011,0.600997506
JAC,0.517241379,0.528089888,0.57967033,0.562146893
NO,0.632075472,0.578680203,0.632124352,0.640625
DET,0.619791667,0.621983914,0.584577114,0.633802817
DAL,0.558282209,0.589673913,0.556213018,0.654450262
TB,0.518518519,0.557228916,0.526912181,0.533149171
ARI,0.531914894,0.563380282,0.538666667,0.60916442
SF,0.519774011,0.501392758,0.550724638,0.497109827
NYG,0.607329843,0.554973822,0.576704545,0.575931232
WAS,0.523255814,0.569014085,0.555555556,0.571428571
SEA,0.505263158,0.575675676,0.566091954,0.56056338
STL,0.482517483,0.581871345,0.519886364,0.575418994
GB,0.5,0.555248619,0.560209424,0.521052632
CHI,0.570588235,0.604972376,0.582655827,0.591036415
NE,0.63372093,0.574358974,0.532178218,0.548611111
BUF,0.512195122,0.575268817,0.565326633,0.559322034
OAK,0.555555556,0.580555556,0.545961003,0.569148936
SD,0.634615385,0.593314763,0.609042553,0.542936288
