TemporalDistance,PIT,CAR,NE
1,9.56284153,2.680965147,2.03562341
2,9.315068493,2.412868633,2.551020408
3,9.315068493,2.150537634,1.530612245
4,9.615384615,2.150537634,1.530612245
5,9.340659341,2.150537634,2.046035806
6,9.065934066,2.69541779,2.046035806
7,9.366391185,2.425876011,2.051282051
8,9.090909091,2.702702703,1.538461538
9,9.944751381,2.432432432,1.025641026
10,9.116022099,2.162162162,1.285347044
11,8.563535912,2.16802168,1.542416452
12,9.141274238,1.89701897,1.030927835
13,8.587257618,1.358695652,1.030927835
14,9.166666667,1.358695652,1.804123711
15,9.166666667,1.358695652,0.775193798
16,9.444444444,1.089918256,1.291989664
17,8.635097493,1.634877384,2.331606218
18,8.635097493,1.366120219,2.331606218
19,8.659217877,1.639344262,2.331606218
20,8.379888268,1.912568306,2.077922078
21,8.379888268,2.465753425,2.077922078
22,8.1232493,2.191780822,2.083333333
23,8.1232493,2.747252747,2.083333333
24,7.584269663,2.747252747,2.083333333
25,7.584269663,2.747252747,2.088772846
26,7.303370787,1.652892562,1.82767624
27,7.887323944,1.101928375,2.094240838
28,7.042253521,0.828729282,2.356020942
29,7.062146893,0.828729282,1.832460733
30,7.344632768,1.657458564,2.099737533
31,7.344632768,0.831024931,2.099737533
32,8.21529745,0.27700831,1.842105263
33,8.21529745,0.833333333,1.842105263
34,8.806818182,1.388888889,2.105263158
35,8.522727273,1.388888889,1.583113456
36,8.238636364,0,1.583113456
37,9.116809117,0,2.116402116
38,8.547008547,0,2.645502646
39,7.714285714,0.837988827,1.851851852
40,7.714285714,1.117318436,1.326259947
41,8.571428571,1.120448179,1.591511936
42,7.736389685,0.280112045,1.595744681
43,8.022922636,0.561797753,1.861702128
44,8.045977011,0.842696629,1.595744681
45,7.183908046,-0.280898876,1.333333333
46,7.183908046,0.563380282,1.866666667
47,6.628242075,0,3.20855615
48,6.340057637,-0.282485876,3.475935829
49,6.358381503,-1.129943503,4.010695187
